project name,compile,gradle version,flaky tests
CAAPIM/gateway-developer-plugin:config-builder,T,4.10,0
CAAPIM/gateway-developer-plugin:environment-creator-application,T,4.10,0
CAAPIM/gateway-developer-plugin:gateway-export-plugin,T,4.10,0
CAAPIM/gateway-developer-plugin:gateway-import-plugin,T,4.10,no test
CAAPIM/gateway-developer-plugin:gateway-policy-plugin,T,4.10,0
gradle/gradle-profiler-plugin,T,6.1,0
d3adspace/gradle-project-template:api,T,6.0.1,error
d3adspace/gradle-project-template:core,T,6.0.1,error
daggerok/pm2-java-spring-boot,T,2.12,error
supabase-community/gotrue-kt,T,7.4.2,0
Muzamilabdallah/Multi_module_Architecture,F,7.2,N/A
hyperiumjailbreak/client,F,5.6.4,N/A
rosjava/rosjava_bootstrap,F,4.10.2,N/A
chanhi2000/TornadoFxStarter,F,4.4,N/A
wwalpha/aws-lambda-java,F,,N/A
HankLi0130/MicroservicesDemo:account-service,T,4.0,1
HankLi0130/MicroservicesDemo:customer-service,T,4.0,1
HankLi0130/MicroservicesDemo:discovery-service,T,4.0,1
HankLi0130/MicroservicesDemo:gateway-service,T,4.0,1
Djacke/spring-boot-mmr-starter,F,4.8,N/A
PiyushChaudhari/spring-boot-multi-module-project,F,,N/A
gmullerb/code-common-tasks,F,4.10.2,N/A
roamingthings/spring-kotlin-k8s-workbench,T,4.5.1,0
yquest/template,F,5.2.1,N/A
Mandelag/akka-http-gradle-quickstart,F,,N/A
pengfanglin/dubbo-template-gradle,F,,N/A
amberved/basic_java_gradle_docker,F,,N/A
h0tk3y/gradle-kotlin-repl,F,4.1,N/A
dimafeng/containerized-tasks,F,2.5,N/A
gradle/tooling-commons:p2-repository,T,4.10,no test
gradle/tooling-commons:testing-crossversion,T,4.10,0
gradle/tooling-commons:testing-junit,T,4.10,error
gradle/tooling-commons:toolingclient,T,4.10,error
gradle/tooling-commons:toolingmodel,T,4.10,error
gradle/tooling-commons:toolingutils,T,4.10,error
trishagee/javafx-gradle,T,7.1.1,no test
ethankhall/gradle-semantic-versioning,F,2.1,N/A
softkot/framework-v2-someapi,F,3.3,N/A
JV-ration/project-info-plugins:project-info-api,T,4.0.1,0
JV-ration/project-info-plugins:project-info-gradle-model,T,4.0.1,error
JV-ration/project-info-plugins:project-info-gradle-plugin,T,4.0.1,error
JV-ration/project-info-plugins:project-info-gradle-test,T,4.0.1,error
JV-ration/project-info-plugins:project-info-maven-plugin,T,4.0.1,no test
DanySK/build-commons,F,4.10.2,N/A
saksmt/dependency-properties-plugin,T,3.3,no test
jaredsburrows/gradle-ios-plugin,T,2.2,0
LajosCseppento/gradle-evosuite-plugin,F,4.0,N/A
ichigotake/gradle-maven-local-deployer,F,1.10,N/A
sethgho/gradle-spark-bootstrap,T,2.2,error
marcbperez/react-redux-todo,F,4.10,N/A
afinlay5/Java9Lang,T,4.7,no test
gandrade/swagger-aggregator:aggregator,T,4.10.3,0
gandrade/swagger-aggregator:greeting-service,T,4.10.3,0
spoilerdo/KiddyInventory,F,4.8,N/A
yuchan-archive/spring-sample,T,3.3,0
soichisumi/Twitter-Clone-Kotlin,F,2.13,N/A
dandeyagna/testng-keyword-driven,F,,N/A
AperLambda/lambdajcommon,F,,N/A
sixman9/gradleExample,F,1.0,N/A
nristock/GradleCurse,F,,N/A
HariSekhon/lib-java,T,6.4.1,0
siosio/Sphinx-GradlePlugin,F,3.0,N/A
hcgoranson/LogBoot,T,7.4.2,0
hoangbv15/PhantomBlade,F,4.6,N/A
outcobra/outstanding-cobra:backend,T,6.8.1,error
outcobra/outstanding-cobra:frontend,T,6.8.1,error
Team973/2019-inseason,F,5.0,N/A
Zoltu/Gradle.Plugin.SimpleGradlePluginPublish,T,2.10,no test
johnrengelman/how-to-shadow,F,2.13,N/A
bulwinkel/gradle-git-info,F,2.9,N/A
FerusGrim/gradletodo,F,3.3,N/A
knjname/JenkinsSwarmPluginLauncherScript,T,4.6,no test
qlikstar/JsonExporterService,F,,N/A
daniellansun/spark-wordcount,F,4.7,N/A
Mrak2017/salaryCalculationJava:app-client,T,5.3.1,no test
Mrak2017/salaryCalculationJava:app-server,T,5.3.1,error
mayank1989gupta/OAuth2Demo,T,4.8.1,0
luhuancheng/gradle_best_practices,F,4.8.1,N/A
QMSTR/qmstr-gradle-plugin,T,5.2,error
wooga/atlas-slack,T,6.9,0
azizisgandarzada/spring-boot-rabbitmq-elasticsearch-example:common,T,6.8.3,no test
azizisgandarzada/spring-boot-rabbitmq-elasticsearch-example:post-indexer,T,6.8.3,no test
azizisgandarzada/spring-boot-rabbitmq-elasticsearch-example:post-ms,T,6.8.3,no test
bertramdev/less-asset-pipeline,F,,N/A
usaa/sonar-quality-gates,T,6.0,0
DanielArturoAlejoAlvarez/SpringBoot-Gradle-7.1.1-SpringSecurity-JWT,T,7.1.1,0
Saevel/java9-project,F,3.5,N/A
frosty110/Battleship,T,4.4,0
niko-dunixi/gradle-shaded-log4j2-cachefile-transformer,T,4.8,0
rmdrabach/atm-puzzle,T,4.10.2,0
CodelyTV/java-solid-examples,T,5.6,0
dolap-tech/quarkus-ddd-boilerplate:Root,T,6.5.1,error
dolap-tech/quarkus-ddd-boilerplate:application,T,6.5.1,0
dolap-tech/quarkus-ddd-boilerplate:domain,T,6.5.1,0
dolap-tech/quarkus-ddd-boilerplate:infrastructure,T,6.5.1,0
KogeLabs/Ockero,F,,N/A
palantir/gradle-processors,T,4.10.3,0
hmcts/bulk-scan-payment-processor,T,7.6,error
hmcts/sscs-case-loader,T,7.5.1,0
wendreof/logisticsRestAPI,T,3.5.1,0
Miqhtiedev/TestMod,F,4.8.1,N/A
beryx/badass-jlink-plugin,T,7.6,19
rujews/android-gradle-book-code,F,2.14.1,N/A
bancolombia/scaffold-clean-architecture,T,6.9.1,0
TechReborn/TechReborn,F,7.6,N/A
kata-seeds/groovy-gradle-seed,F,2.3,N/A
trnl/clirr-gradle-plugin,F,,N/A
MiguelBasire/cradle,F,,N/A
harshild/cf-concourse-example,F,,N/A
ShayBox/ExampleMod,T,4.9,no test
andrsam/bookshelf,F,,N/A
adessoSE/expressive-testing-demo,F,3.3,N/A
hb-chen/flink-practice,F,4.10.3,N/A
ScrambledRK/gradle-haxe-plugin,T,4.0.1,error
IntershopCommunicationsAG/repoconfig-gradle-plugin,T,5.4.1,0
alexvetter/vertx3-gradle-scala,F,3.4,N/A
ryansgot/smc-gradle-plugin,T,6.8.3,no test
AtomIsHere/skybanebot,F,,N/A
ruanvsrateira/spring-boot-questionario,T,7.5,error
Sincity231/Drawing-Simulator,T,7.4,no test
elypia/YAML4DeltaSpike,T,6.6,0
armeenm/robot-2018-kt,F,4.9,N/A
tiagodeoliveira/boot-mvc-data-orient-promotion,F,,N/A
gdutyifei/externalApi,F,,N/A
madhavi1411/gradle-spring-boot-project-for-elasticsearch6-without-spring-data-elasticsearch,T,3.5.1,0
wordpress-mobile/WordPress-Android-Libraries-Gradle-Plugin,F,,N/A
fuzhengwei/guide-idea-plugin-create-project-by-gradle,T,5.2.1,no test
energizedwork/heroku-buildpack-runnable-jar-gradle-plugin,F,3.3,N/A
ricardorlg/aws-device-farm-tractor-gradle-plugin,T,7.6,error
bmuschko/docker-integration-testing,T,4.5.1,no test
allangomessl/GeoLocation,F,,N/A
sridharbandi/Selenium-Geb-Junit-Template,T,4.4,0
amithn/hadoop-boilerplate,F,,N/A
mgoellnitz/tangram,F,4.10.2,N/A
nsclass/ns-svg-converter,F,7.5.1,N/A
jeremynoesen/BoneBot,T,7.5,no test
hammad-tariq/kotlin-spring-boot-resful-mysql-demo,F,3.5,N/A
jochenberger/gradle-lein,T,3.0,0
mcxtzhang/gradle-plugins,F,,N/A
neversleepz/gradle-spark,F,2.3,N/A
ksoichiro/gradle-replacer,F,2.2.1,N/A
wooga/atlas-build-unity,T,6.9,0
david145noone/Student-Database,T,6.1,0
Tomsawyerhu/jacoconut-front:java,T,7.1,no test
ModdingX/SugarCane,F,7.2,N/A
shevek/imagebuilder,F,2.2.1,N/A
giancosta86/Aurora,F,,N/A
clojuresque/scriptoresque-base,F,1.8,N/A
lyhcode/mock-webserver,F,,N/A
zhangpeng181818/pf4j_gradle_demo,F,,N/A
paulzfm/gradle-plugin-ll1pg,T,3.1,error
seco/egov_basic,F,5.4,N/A
jeffcardoso/quarkus-hello-world-jpa,T,5.6.2,0
PhilippHeuer/camunda-template:camunda-template-package-boot,T,5.1,no test
PhilippHeuer/camunda-template:camunda-template-package-boot-aio,T,5.1,no test
PhilippHeuer/camunda-template:camunda-template-package-war,T,5.1,no test
PhilippHeuer/camunda-template:camunda-template-process-application,T,5.1,no test
lightningkite/konvenience,F,5.5,N/A
yoomoney/check-dependencies-plugin,T,7.4.1,1
virtualdogbert/enterprise-groovy-plugin,T,5.2.1,no test
iuribecker/creating-multi-project-builds,F,,N/A
JuneLeo/print-dependenies,F,4.0,N/A
duanyitao/gradle_learn,T,4.10,0
Akemon/groovy,F,,N/A
SpyrosKou/Plain-ROS-Java-System-Example,T,7.5.1,no test
ziponia/lib:google,T,6.0.1,error
ziponia/lib:iamport,T,6.0.1,error
ziponia/lib:kakao,T,6.0.1,error
ziponia/lib:naver,T,6.0.1,error
ziponia/lib:st11,T,6.0.1,error
ziponia/lib:util,T,6.0.1,0
michaelbull/svg-stockpile,F,2.13,N/A
dbgjerez/spring-kotlin-crud,F,,N/A
spindriftgroup/gradle-manifest-plugin,F,4.4.1,N/A
IntershopCommunicationsAG/azure-gradle-plugin,T,4.4.1,error
ebean-orm-examples/example-gradle-java-apt,F,,N/A
mtatheonly/quasar-gradle-plugin,F,,N/A
amirkibbar/cherry,F,3.1,N/A
sizovs/cucumber-3g,F,1.11,N/A
akullpp/DGH2,F,,N/A
anthonyfoulfoin/typescript-asset-pipeline,F,,N/A
mixja/gradle-autoversion-plugin,F,,N/A
wj35hilton/nifi-nar-gradle-plugin,F,,N/A
dynamsoft-dwt/Scan-Documents-Gradle:web,T,2.2.1,no test
nablarch/nablarch-gradle-plugin,F,2.2.1,N/A
ghillairet/xcore-gradle-example,F,,N/A
ichenkaihua/spring-ebean,F,2.2,N/A
vaadin/base-starter-gradle,T,7.3,no test
tkgregory/maven-to-gradle,T,7.6,0
Sehun-Kim/IndianPoker_Spring-Boot,T,4.10,0
modmuss50/CurseMapper,T,3.4,no test
SpongePowered/LaunchWrapperTestSuite,F,3.3,N/A
sqeazy/sqeazy,F,,N/A
brightestbulb/springboot-webservice,T,5.2.1,0
diegopacheco/eks-java-template,T,5.6.2,no test
vividswan/Study-Mate,T,6.6.1,error
savindug/Java-Plugin-System:AdvanceEvaluator,T,6.6.1,no test
savindug/Java-Plugin-System:c_library,T,6.6.1,no test
savindug/Java-Plugin-System:CSVWriter,T,6.6.1,no test
savindug/Java-Plugin-System:java_app,T,6.6.1,error
savindug/Java-Plugin-System:Plugin_API,T,6.6.1,no test
savindug/Java-Plugin-System:ProgressBar,T,6.6.1,no test
forest-code/spring_study_hyunsoo:spring-boot-actuator,T,3.5,0
forest-code/spring_study_hyunsoo:spring-boot-jms,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-journal,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-journal-delivery,T,3.5,0
forest-code/spring_study_hyunsoo:spring-boot-journal-jdbc,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-journal-jpa,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-journal-mongodb,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-journal-oauth,T,3.5,0
forest-code/spring_study_hyunsoo:spring-boot-journal-secure,T,3.5,0
forest-code/spring_study_hyunsoo:spring-boot-journal-test,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-journal-web,T,3.5,0
forest-code/spring_study_hyunsoo:spring-boot-rabbitmq,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-redis,T,3.5,no test
forest-code/spring_study_hyunsoo:spring-boot-web-actuator,T,3.5,error
forest-code/spring_study_hyunsoo:spring-boot-websocket,T,3.5,0
forest-code/spring_study_hyunsoo:vol1,T,3.5,error
forest-code/spring_study_hyunsoo:vol2,T,3.5,error
zengzhezz/webtemplate,F,,N/A
robevansuk/base_app,F,,N/A
fullmetal248/KotlinBukkitPluginTest,F,2.9,N/A
SpongePowered/MixinGradle,T,6.6,no test
vivin/gradle-semantic-build-versioning,F,3.3,N/A
mdietrichstein/gradle-offline-dependencies-plugin,T,5.1,no test
arteme/gradle-trust-all,F,,N/A
mgk/s3-plugin,F,3.2.1,N/A
kevinyang0906/gradle,F,1.0,N/A
davenkin/gradle-spring-boot,F,3.0,N/A
jochenseeber/gradle-wsimport-plugin,F,4.10.2,N/A
Esri/arcgis-runtime-samples-java,T,7.3,no test
pablisco/ramBuild,F,3.3,N/A
jruby-gradle/jruby-gradle-plugin:docs,T,5.4.1,no test
jruby-gradle/jruby-gradle-plugin:jruby-gradle-core-plugin,T,5.4.1,0
jruby-gradle/jruby-gradle-plugin:jruby-gradle-jar-plugin,T,5.4.1,0
jruby-gradle/jruby-gradle-plugin:jruby-gradle-plugin,T,5.4.1,0
jruby-gradle/jruby-gradle-plugin:jruby-gradle-war-plugin,T,5.4.1,0
kevin70/springboot-vue-webpack-examples,F,2.14.1,N/A
project-seeds/SpringBoot-Angularjs1.x,T,2.13,error
daggerok/sockjs-stomp-websocket-react-and-vanilla,T,3.4.1,error
niangegelaile/WebDemo,T,3.3,no test
mental-soft/application,T,4.0,error
frankbolviken/SenchaGradle,F,1.6,N/A
jesperfj/hello-gradle,F,,N/A
townsquad/gradle-plugins,F,,N/A
forestbat/VanillaGradle,T,5.6.2,error
jmvrbanac/gradle-js-boilerplate,F,,N/A
DenialAdams/gradle-packr-plugin,F,3.0,N/A
rostaslaszlo/openapi-codegen-gradle-plugin,F,,N/A
Chimerapps/icapps-translations-gradle-plugin,T,7.2,no test
videogame-player/recaf-development,T,6.7,no test
rvillars/bookapp-nextgen,F,,N/A
pedroeml/voting-service,T,6.3,error
nomisp/confluence-publisher-plugin,T,7.2,0
xiaod-dev/demo-CDK-gradle-project,T,7.1,no test
Ragul-Dhandapani/BDD-Cucumber-Allure-Gradle,F,,N/A
redskap/swagger-brake-gradle,T,6.5.1,0
jcohy/jcohy-gradle-plugins,F,6.9.2,N/A
jriwanek/ForgeModdingSkeleton,F,4.9,N/A
edvin/fxldemo-gradle,T,2.5,error
education/autograding-example-java,F,,N/A
RedPillAnalytics/gradle-confluent,F,7.5.1,N/A
jmnarloch/gocd-gradle-plugin,F,2.8,N/A
manupsunny/gauge-gradle-plugin,F,4.6,N/A
nebula-plugins/gradle-git-scm-plugin,T,8.0,error
michaelruocco/embedded-mysql-plugin,T,4.10,0
logbee/gradle-conda-plugin,T,5.6.1,no test
ekim197711/springboot-vuejs-gradle,T,6.3,error
ngyewch/gradle-git-version,T,2.13,error
phiSgr/gatling-grpc-gradle-demo,T,6.6.1,no test
muraken720/vert.x-module-template-for-java,F,1.4,N/A
nasoym/jitpack_usage,F,,N/A
LightGuard/weld-perma-link,F,,N/A
RawToast/springboot-example,F,2.7,N/A
skjolber/java-jwt-benchmark:frameworks,T,7.4.2,no test
skjolber/java-jwt-benchmark:jmh-benchmark,T,7.4.2,no test
skjolber/java-jwt-benchmark:jmh-utils,T,7.4.2,no test
myConsciousness/catalog-api,T,7.0,0
DanijelAskov/towers-of-hanoi,T,5.2.1,no test
Tahanima/uva-solutions,T,6.8,0
davidnortonjr/continuous-gradle,F,2.11,N/A
thokari/gradle-workshop:examples,T,4.2,no test
thokari/gradle-workshop:sessions,T,4.2,no test
swilliams-pivotal/gradle-plugin,F,1.3,N/A
toshihirock/LambdaGradle,T,2.4,0
sridharbandi/Selenium-Serenity-Junit-Template,T,4.4,0
Qixalite/SpongeStart,F,3.4.1,N/A
unsaved/gradle-javaPropFile-plugin,F,2.1,N/A
typelead/eta-init,T,4.9,error
JcMinarro/ProperDroid,F,2.10,N/A
gigix/dojo-scaffold,F,,N/A
RobertFischer/gradle-plugins,F,,N/A
vanshg/KrazyKotlin,F,3.3,N/A
apolo92/poc-java9-modules-api,F,,N/A
deadeanr1/homeTradesman,T,3.3,0
RagavanPV/SpringBootWithSwaggerUI,T,4.0.1,no test
Park9eon/kotlin-native-sample,F,3.5,N/A
rmarinsky/JUnit5SelenideGradle,F,3.1,N/A
allure-examples/allure-junit5-gradle,T,6.5,0
deathman92/hibernate-schema-gradle-plugin,F,3.0,N/A
QuiltMC/chasm-gradle-plugin,T,7.3,error
hibernate/version-injection-plugin,F,1.7,N/A
npinar/Spring4-SpringWebApplication,F,,N/A
wolfpaulus/JerseyTemplate,T,2.2,no test
AlecStrong/Grammar-Kit-Composer,T,7.6,0
hibernate/gradle-xjc-plugin,F,6.7,N/A
wildfly/wildfly-gradle-tools,T,4.8,error
cthiele42/gradle-robot,F,,N/A
alexandregama/spring-boot-gradle-docker,F,,N/A
popcornylu/gradle-webapp-template,F,1.8,N/A
sblundy/gradle-dependency-management-plugin,F,,N/A
dipien/gradle-timer-plugin:gradle-timer-plugin,T,7.1.1,error
oakstair/gradle-gae-plugin-tryout,F,,N/A
buseodaci/GoogleDocs-API,T,5.2.1,no test
kshyk/selenium-fw,T,7.5.1,error
basoy/websiteMonitoringTool,F,,N/A
Pawel-Kowalik/gpwData,F,,N/A
nsoft/solr-gradle,T,2.13,no test
stewartbryson/gradle-snowflake:plugin,T,7.6,error
aestasit/slidery-gradle,F,2.1,N/A
olxbr/gradle-plugins,F,2.12,N/A
FrederikS/rest-api-blueprint-clean-architecture:application,T,6.7,no test
FrederikS/rest-api-blueprint-clean-architecture:domain,T,6.7,error
FrederikS/rest-api-blueprint-clean-architecture:infrastructure,T,6.7,no test
MTSKaioken/EstagioPadawan,T,7.1.1,0
spring-org/realworld-springboot-monolith,T,7.1.1,0
apolo49/Pixel-MK-Menu,F,7.4,N/A
elytra/Skeleton,F,3.3,N/A
hustlelikeaboss/ClienTell,T,3.4.1,0
JavaFamilyClub/jfoa:dfs,T,6.2.2,error
JavaFamilyClub/jfoa:jf-commons,T,6.2.2,error
JavaFamilyClub/jfoa:jf-dependencies,T,6.2.2,no test
JavaFamilyClub/jfoa:jf-echarts,T,6.2.2,error
JavaFamilyClub/jfoa:runner,T,6.2.2,error
JavaFamilyClub/jfoa:web,T,6.2.2,no test
iliasmentz/Worklife,T,4.5.1,error
mogikanlol/gradle-custom-plugin-demo:custom-plugin-2,T,7.4,no test
mogikanlol/gradle-custom-plugin-demo:executor,T,7.4,no test
mogikanlol/gradle-custom-plugin-demo:liquibase-migrations,T,7.4,no test
sopra-fs22-group-08/server,F,6.8.1
7.4,N/A
himankbatra/spring-boot-base-gradle-template,F,6.8,N/A
Donghyeob/springboot-rest-tutorial,T,7.3.1,0
cbrnrd/NanoLog,T,3.5,no test
stblassitude/javaproxycheck,F,,N/A
FlorianDe/jextensions,T,5.4.1,0
h1romas4/springboot-template-web,T,7.4.2,no test
BlackDuckCoPilot/example-gradle-circle,F,3.2,N/A
njkfei/springboot-redis-cache-gradle,F,,N/A
blackducksoftware/common-gradle-plugin,T,6.9,0
vkuptcov/gradle-hierarchical-multirepo-example,F,3.3,N/A
hotchemi/gradle-proguard-plugin,F,2.1,N/A
BreadMoirai/github-release-gradle-plugin:ast,T,7.4.2,0
gluonhq/gluonfx-gradle-plugin,T,6.3,no test
redhat-developer/intellij-quarkus,T,7.6,error
kui/gatling-gradle-example,F,,N/A
tehlers/gradle-duplicate-classes-check,T,6.5.1,2
rundis/gradle-buster-plugin,F,2.2,N/A
NOVA-Team/NOVA-Gradle,F,2.4,N/A
sidney-simmons/gradle-plugin-external-properties,T,6.7.1,no test
ekim197711/demo-standalone-gradle-plugin,T,5.2.1,0
ragill/nar-gradle-plugin,T,6.5,0
ederlopesgoncalves/spring-boot-gradle,F,,N/A
Team-Fruit/EEWReciever,F,2.0,N/A
SneK152/SwordSelection,T,6.8.1,no test
mcroteau/Hilo,T,3.5,error
arunkpatra/thingverse:thingverse-admin,T,6.7.1,error
arunkpatra/thingverse:thingverse-api,T,6.7.1,error
arunkpatra/thingverse:thingverse-assembly,T,6.7.1,error
arunkpatra/thingverse:thingverse-backend,T,6.7.1,error
arunkpatra/thingverse:thingverse-backend-api,T,6.7.1,error
arunkpatra/thingverse:thingverse-bom,T,6.7.1,error
arunkpatra/thingverse:thingverse-cassandra-backend,T,6.7.1,error
arunkpatra/thingverse:thingverse-cli,T,6.7.1,error
arunkpatra/thingverse:thingverse-common,T,6.7.1,error
arunkpatra/thingverse:thingverse-consul-autoconfig,T,6.7.1,error
arunkpatra/thingverse:thingverse-coverage-reporting,T,6.7.1,error
arunkpatra/thingverse:thingverse-deployment,T,6.7.1,error
arunkpatra/thingverse:thingverse-docs,T,6.7.1,error
arunkpatra/thingverse:thingverse-grpc-client,T,6.7.1,error
arunkpatra/thingverse:thingverse-grpc-common,T,6.7.1,error
arunkpatra/thingverse:thingverse-kubernetes,T,6.7.1,error
arunkpatra/thingverse:thingverse-launcher,T,6.7.1,error
arunkpatra/thingverse:thingverse-logging,T,6.7.1,error
arunkpatra/thingverse:thingverse-monitoring,T,6.7.1,error
arunkpatra/thingverse:thingverse-resilience,T,6.7.1,error
arunkpatra/thingverse:thingverse-scripts,T,6.7.1,error
arunkpatra/thingverse:thingverse-security,T,6.7.1,error
arunkpatra/thingverse:thingverse-stress-tests,T,6.7.1,error
arunkpatra/thingverse:thingverse-test-cassandra-app,T,6.7.1,error
arunkpatra/thingverse:thingverse-tracing,T,6.7.1,error
arunkpatra/thingverse:thingverse-wrapper,T,6.7.1,error
arunkpatra/thingverse:thingverse-zuul-proxy,T,6.7.1,error
PowerNukkit/ExamplePlugin-Gradle,T,6.1.1,no test
frayer/websphere-gradle-plugin,F,,N/A
rm3l/datanucleus-gradle-plugin:sample-jdo,T,7.4.1,no test
rm3l/datanucleus-gradle-plugin:sample-jpa,T,7.4.1,no test
rm3l/datanucleus-gradle-plugin:sample-jpa-multiproject,T,7.4.1,no test
yatskevich/cucumber-jvm-gradle-javaexec,F,,N/A
etiennestuder/gradle-jooq-plugin,T,7.6,error
sheehan/job-dsl-gradle-example,T,4.8.1,0
FibreFoX/javafx-gradle-plugin,T,4.4.1,error
novoda/gradle-static-analysis-plugin,F,5.6.3,N/A
oronno/Spring-4-WebMVC-Skeleton,F,1.11,N/A
wingzhao/spring4-hibernate4-gradle-noxml,F,,N/A
diwakergupta/gradle-thrift-plugin,F,1.2,N/A
dcoraboeuf/gradle-ear,F,2.7,N/A
JosephBisso/Java_Poject,T,6.7.1,0
imenuuu/GridgeTest-Instagram,T,6.7.1,no test
yeon-06/clonemate,T,7.3,0
ivanzito/panda-client,F,7.4,N/A
Arxa/video_text_detection,F,,N/A
bankidz/bankidz-server,T,7.4.1,0
INSPJT/instagram_clone_backend,T,6.8.2,0
daggerok/spring-boot-twitter,F,,N/A
StubbornJava/StubbornJava:stubbornjava-cms-server,T,6.7.1,error
StubbornJava/StubbornJava:stubbornjava-common,T,6.7.1,error
StubbornJava/StubbornJava:stubbornjava-examples,T,6.7.1,error
StubbornJava/StubbornJava:stubbornjava-undertow,T,6.7.1,error
StubbornJava/StubbornJava:stubbornjava-webapp,T,6.7.1,error
palantir/gradle-graal,T,7.6,error
jakeouellette/inspector,F,1.12
1.12
2.4,N/A
rholder/gradle-one-jar,F,1.10,N/A
anovarini/bdd4ggsc,F,1.0,N/A
mini2Dx/tilepacker:tilepacker-core,T,5.4.1,0
mini2Dx/tilepacker:tilepacker-gradle-plugin,T,5.4.1,no test
skhatri/js-css-checkstyle,F,,N/A
adammurdoch/tooling-api-ui,T,7.2,no test
TradersTeam/grand-node-java-client:example-java,T,7.1,error
TradersTeam/grand-node-java-client:example-kotlin,T,7.1,error
Octanium91/groovy-swagger-demo,T,7.2,0
cardsplus/demoscs:app,T,7.4.2,no test
devalurum/stockPriceApp,F,7.1,N/A
NoushathMoidu2020/Spring-Boot-Starter-Kit,T,6.6.1,1
franciscoreinaponce/Registration,T,7.1.1,0
daggerok/spring-webflux-groovy-example,T,5.4.1,0
litsynp/spring-boot-community-rest:data-rest,T,7.4.1,error
litsynp/spring-boot-community-rest:rest-web,T,7.4.1,error
demkom58/gradle-spring-boot-deploy-example,T,7.1,error
itzg/simple-boot-image-gradle-plugin,T,7.5.1,error
tkgregory/gradle-java-library-plugin-library,T,7.1.1,no test
foragerr/SO-35302414-local-gradle-plugin,F,,N/A
Shevchik/ManualGradleDependencySupplier,T,7.2,error
leobia/SassGradleCompiler,T,7.4.2,no test
hyesun03/jmh-gradle-tutorial,F,4.10,N/A
jongyoul/gradle-docker-plugin,T,5.6.2,0
emetriq/gradle-changelog-plugin,T,4.10.2,0
breandan/jooq-gradle-demo,T,2.0,error
venkatperi/gradle-msbuild-plugin,F,,N/A
spring-media/gradle-java-conventions-plugin,T,2.3,error
berinle/concourse-spring-boot-gradle,T,2.13,0
awrichar/gradle-coverity-connect,F,,N/A
SrinivasanTarget/SampleAppiumGradle,T,2.13,0
killer8000/Inject_gradle_plugin,T,2.8,no test
stoicflame/enunciate-gradle,T,6.3,no test
hzqiuxm/ziniuhome,F,,N/A
zebalu/teavm-gradle-plugin,F,5.6.3,N/A
Yubico/gradle-gpg-signing-plugin,F,4.1,N/A
dracula337435/CloudLearning,F,,N/A
liuzhaohong/springboot,F,,N/A
amirkibbar/peach,F,4.3.1,N/A
bgorven/Hello,F,3.0,N/A
ysb33r/gnumake-gradle-plugin,F,2.14,N/A
pkaq/springcloud7,F,,N/A
e13mort/stf-gradle-plugin:gradle-plugin,T,6.8.3,0
Darkhax/CurseForgeGradle,T,7.4.2,no test
mojavelinux/asciidoctor-gradle-example,F,2.0,N/A
ctco-dev/gradle-knappsack-plugin,F,,N/A
amaksoft/gradle-elastic-libs-plugin,F,3.0,N/A
ALeggeUp/embedded-builder-gradle-template,F,3.3,N/A
ksoichiro/gradle-plugin-template,F,2.9,N/A
Lucas3oo/sonarlint-gradle-plugin,T,7.5.1,3
Dictanova/gradle-jcasgen-plugin,T,4.10.3,0
jamesward/force-gradle-plugin,F,1.12,N/A
82253452/banner,F,2.2,N/A
paleozogt/symzip-plugin:symzip-plugin,T,5.0,1
kyleboon/lazybones-jbake-template,F,2.0,N/A
liviutudor/jacoco_report,F,,N/A
robmaidment/gradle-weblogic-plugin,T,1.11,error
Ryan-Miao/springboot-demo-gradle,T,3.1,error
dirkraft/gradle-plantuml-plugin,F,2.3,N/A
djangofan/launch-jmeter,F,2.3,N/A
rackerlabs/gradle-codacy-plugin,F,4.5,N/A
lovef/gradle-git-version-plugin:gradle-git-version-plugin,T,5.1.1,0
mxab/docker-gradle-problem,T,5.0,0
martijndwars/markdown-gradle-plugin,T,5.6.4,0
MikJg1119/HomeLibrarySpringBoot,T,7.1.1,0
lnstempunks/ToastRhino,F,2.2.1,N/A
js2ts/js2ts,F,,N/A
paleozogt/republish-plugin:republish-plugin,T,2.13,error
fengshana/gradleDemo,F,,N/A
khickel/GradleLegacyNativeMigration,F,6.8.1,N/A
ianpilipski/IPTech-GradleUnityPlugin:unity-plugin,T,6.1,error
sll521/GradleSrpingBoot,F,5.5,N/A
brookslyrette/gradle-jacoco-coverage,F,2.7,N/A
ajdevries/gradle-sparkjava-sample,F,2.11,N/A
maxd/javafx-gradle-plugin_kotlin,F,2.13,N/A
dlienko/kotlin-guice-gradle-test,T,2.9,no test
comtihon/metric_receiver,F,3.5.1,N/A
AndreaGhizzoni/JDrive,T,2.11,0
protobufel/multikeymapjava,F,4.3.1,N/A
nitinkaveriappa/DeckOfCards,T,3.5,no test
rob2universe/camunda-springboot-gradle,T,6.4.1,error
skymarlio82/gradle-spring-boot-project,T,6.5,0
