project name,compile,gradle version,flaky tests
beekpr/beekeeper-gradle-plugins:beekeeper-license-check-plugin,T,7.4,0
beekpr/beekeeper-gradle-plugins:beekeeper-plugin,T,7.4,0
beekpr/beekeeper-gradle-plugins:beekeeper-plugin-test-support,T,7.4,no test
beekpr/beekeeper-gradle-plugins:beekeeper-quarkus-plugin,T,7.4,no test
beekpr/beekeeper-gradle-plugins:beekeeper-security-plugin,T,7.4,0
beekpr/beekeeper-gradle-plugins:beekeeper-testing-plugin,T,7.4,no test
panpf/maven-publish-gradle-plugin:plugin,T,7.2,0
fffy2366/ssm,F,,N/A
gokuai/yunku-sdk-java:GokuaiBase,T,5.0,no test
gokuai/yunku-sdk-java:YunkuJavaSDK,T,5.0,0
gokuai/yunku-sdk-java:YunkuJavaSDKDemo,T,5.0,no test
jbrackett/HelloWorldSpring4,T,1.7,0
mirhagen/standalone-war,F,,N/A
koizuss/sublime-gradle,F,,N/A
andrewkroh/gradle-protobuf-plugin,F,1.12,N/A
xvik/gradle-mkdocs-plugin,T,6.9,0
Nandtel/spring-boot-angular2-starter,F,2.9,N/A
Disk-MTH/Spigot-plugin-template,T,7.4,error
Tugra-Guldogan/RaspberryPi-Vision-Helper,F,,N/A
tomaszkapron/spring-boot-rest-api-recipes,T,7.3.1,no test
open-source-release-demo/publish-java,T,7.3,0
saksmt/gradle-publish-issue-3003,F,4.2,N/A
guangping/gradle,F,,N/A
Ryan-Miao/jsp-tag,F,2.13,N/A
vacax/sparkjavaorm,T,5.2.1,no test
jraska/modules-graph-assert:plugin,T,7.5.1,0
CodelyTV/java-ddd-skeleton:analytics,T,7.4,error
CodelyTV/java-ddd-skeleton:backoffice,T,7.4,error
CodelyTV/java-ddd-skeleton:mooc,T,7.4,error
CodelyTV/java-ddd-skeleton:shared,T,7.4,error
jaredsburrows/gradle-license-plugin:gradle-license-plugin,T,7.4.2,error
townsfolk/gradle-templates,F,,N/A
Aizistral-Studios/ForgeWorkspaceSetup,T,5.6.4,no test
nasa-jpl-memex/elwha,F,,N/A
xvik/gradle-github-info-plugin,T,6.9,0
JoseLion/pretty-jupiter,T,7.6,error
aokolnychyi/map-reduce-tutorial,F,,N/A
dachengai/gradle-maven-upload,T,2.8,no test
hyleung/jmh-gradle-sample,T,5.5.1,no test
VovaOne/spring-boot-starter,F,,N/A
bmuschko/gradle-in-action-source,F,1.7,N/A
eclipse/buildship:org.eclipse.buildship.branding,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.compat,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.core,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.core.test,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.feature,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.oomph,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.oomph.edit,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.oomph.feature,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.oomph.test,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.site,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.testdependencies,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.ui,T,7.4.2,error
eclipse/buildship:org.eclipse.buildship.ui.test,T,7.4.2,error
eclipse/buildship:org.gradle.toolingapi,T,7.4.2,error
Railcraft/Railcraft,F,4.9,N/A
system-sekkei/isolating-the-domain,T,7.5.1,error
IoNakamura/AutoAvianca,T,6.1.1,0
we-are-dj/server,T,7.1.1,0
prateeknayak/pg-springboot-x509-auth,F,,N/A
FusionFish2004/fusion-rpg,T,6.7,error
Dag-Rui/artemis-entity-builder,T,5.4.1,0
fmemis/CovidTestsAnalytics,T,6.5.1,no test
me-manish104/vimvie:account-service,T,5.2.1,0
me-manish104/vimvie:auth-service,T,5.2.1,0
me-manish104/vimvie:config,T,5.2.1,0
me-manish104/vimvie:gateway,T,5.2.1,0
rlarkin01/VeracodeAPIWrapperExample,F,,N/A
ajbrown/gradle-raml-plugin,T,2.2.1,error
yuanzicheng/gradle-multiple-module,F,,N/A
Itiviti/gradle-pdbindex-plugin,T,6.9,error
zgrossbart/HelloSpiffyGradle,F,,N/A
jruby-gradle/jruby-gradle-storm-plugin,F,2.7,N/A
tylerjromeo/IceCreamGradle,F,1.7,N/A
infusionsoft/gradle-build-version-plugin,F,2.10,N/A
wang663632304/gradle-android-command-plugin,F,1.7,N/A
mvniekerk/GradleGroovyRobot,F,,N/A
nmarshall23/gradleBukkitEmptyPlugin,F,,N/A
kaiwaehner/gradlePlayApp,F,,N/A
piersy/Gradle2MavenPublishBug,F,2.0,N/A
kiddouk/gradle-vault,F,2.14,N/A
sshoogr/sshoogr-gradle,T,5.4,0
infinum/android-collar:annotations,T,7.6,no test
infinum/android-collar:core,T,7.6,no test
infinum/android-collar:generator,T,7.6,no test
infinum/android-collar:lint,T,7.6,0
infinum/android-collar:plugin,T,7.6,no test
infinum/android-collar:processor,T,7.6,no test
infinum/android-collar:sample,T,7.6,no test
infinum/android-collar:ui,T,7.6,no test
infinum/android-collar:ui-no-op,T,7.6,no test
githubityu/springcloudstudy,F,,N/A
rocklass/raspalarm-server,T,3.4.1,no test
era5mx/Evaluacion5,F,,N/A
syntrydy/megamusicstore,T,3.5.1,0
JafarSadik/weewar-map-viewer,T,4.8,error
enzanki-ars/MineComplete,T,4.7,no test
daggerok/jboss422-jee5-ejb21,F,4.6,N/A
Azzeccagarbugli/MasterMind,T,5.4.1,0
FunkeGoodVibe/ProjectManagementApp,F,3.5,N/A
Ninna-log/pickup-webapp,T,6.8.3,0
caiotayota/Web-Quiz-Engine,F,,N/A
Oley96/realworld-automation-demo,T,7.1,0
ohmygrpc/java:app,T,7.0,error
JavaanseHZ/cluecumber-report-gradle-plugin-example,T,5.6.2,0
H3AR7B3A7/MultiModuleGradleSpringProject,F,,N/A
free-pan/pzy-gradle-springboot-mutil-module,F,6.2.1,N/A
jonniebigodes/simple_gradle_springboot_graphql_server,T,5.2.1,no test
vsquared101/tms,T,4.8.1,no test
iriny/rest-assured-example,F,4.10,N/A
fletcher86/simple-rest-service,T,4.6,0
Laverrr/blog,T,4.8.1,error
multi-os-engine/moe-plugin-gradle,F,,N/A
lenala/azure-gradle-plugins:azure-functions-gradle-plugin,T,5.1,0
lenala/azure-gradle-plugins:azure-webapp-gradle-plugin,T,5.1,0
heroku/devcenter-gradle,F,,N/A
AOEpeople/gradle-jenkins-job-dsl-plugin:jenkins-job-dsl-gradle-plugin,T,6.3,0
AOEpeople/gradle-jenkins-job-dsl-plugin:jenkins-job-dsl-test-support,T,6.3,error
J-Man13/camunda-gradle,T,5.6,0
messliyan/Spring_Gradle,F,6.1,N/A
rockychen1221/gradle-example,F,,N/A
cdecheng/gradle-netty,T,5.2.1,error
mingyuans/javassist-android-gradle,F,2.13,N/A
rodm/gradle-teamcity-dsl-plugin,T,4.0.2,error
YuhangGe/kotlin-vertx-gradle-starter,F,3.5,N/A
WaldemarGoszka/Java_with_gradle,T,7.4,error
SimonHarmonicMinor/beholder-core,T,5.2.1,0
ChillyCheesy/ModuloApplicationPlugin,T,7.5.1,no test
DPS0340/spring-boot-k8s-example,F,7.4.1,N/A
changemyminds/Spring-Boot-UnitTest-Note,T,6.6.1,0
figaf/api-management-gradle-plugin,T,4.10.2,no test
renhaixiang/gradle-spring-cloud-demo,F,,N/A
darrendanvers/pmd-gradle-example,T,6.3,0
charlesdccti/contact-service-gradle-backend,T,6.0.1,no test
team-carepay/sonar-qualitygate,T,6.9,0
bmuschko/docker-compose-integration-testing,T,4.7,error
kellyrob99/gradleAntImport,F,,N/A
bb4/bb4-games,T,7.3,8
skobow/gradle-spring-boot-starter-sample:my-library,T,4.4,no test
skobow/gradle-spring-boot-starter-sample:my-library-autoconfigure,T,4.4,no test
Blastman/gradlenpm,F,2.9,N/A
saturnism/grpc-java-examples,F,,N/A
shrhdk/openfire-plugin-example,F,3.1,N/A
rgrebski/gradle-git-docker-versioning,T,3.5,no test
joelhandwell/spark-gradle-alpine-docker,F,2.11,N/A
sponiro/gradle-nar-plugin-example,F,4.5.1,N/A
davidhewitt/scalajs-gradle-plugin,T,2.2,error
advantageous/marathon-deploy-plugin,F,4.3.1,N/A
skidfuscatordev/skidfuscator-gradle-plugin,T,7.4,no test
anshulverma/gradle-estilo-plugin,F,2.9,N/A
jamesbarker/cucumber-geb-gradle,F,2.3,N/A
santaevpavel/gradle-metrics-plugin,F,7.6,N/A
fergdp/gradle-springboot-swagger,T,6.0.1,0
ganeshpadhayay/android-gradle-system,F,6.1.1,N/A
virgo47/gradle-classpath-jar-plugin,T,4.7,0
MansurAshraf/gradle-scalastyle-plugin,F,1.11,N/A
nebula-plugins/gradle-resolution-rules,T,8.0,error
jakubnabrdalik/spring-boot-gradle-starter,F,1.8,N/A
dave-ellis/gradle-swagger-plugin,F,,N/A
MattJDavidson/xtc-london-test-commit-revert,T,4.4,0
gavarava/rockpaperscissors,T,6.1,error
mariuslit/java-tomcat-ShoppingCart-sportscarshop,T,4.10,0
3fong/gradle,F,4.3,N/A
jiakuan/appengine-guestbook-java-gradle,F,,N/A
ywelsch/gradle-play2-plugin,F,2.1,N/A
breskeby/Gradle-ReleaseIt-Plugin,F,1.10,N/A
esycat/gradle-config-plugin,F,1.10,N/A
twocity/duck,F,4.6,N/A
virtualdogbert/micro-grails-plugin,T,4.10.2,no test
Fcscanf/todo,F,,N/A
tekintian/java_mail,T,4.4,error
maladdicted/JFXTetris,T,7.1.1,error
ajongs/Gathering-Platform,T,7.1.1,0
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:api-gateway-service,T,7.4,error
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:auth-service,T,7.4,error
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:config-client-git,T,7.4,error
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:config-server,T,7.4,error
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:config-server-git,T,7.4,error
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:elastic-service,T,7.4,no test
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:main-service,T,7.4,error
GozdeSaygiliYalcin/spring-boot-microservices-competition-project-app:user-service,T,7.4,error
lzjyzq2/annotation-processor-example:example,T,7.1,0
lzjyzq2/annotation-processor-example:processor,T,7.1,no test
melix/gr8conf2016-intro-software-model,F,2.14,N/A
davidctj/graphgl-java-cors-header,T,4.2.1,error
Chabane/mitosis-microservice-spring-reactor,F,3.5,N/A
rbarbioni/Gradle-Spring4-JPA-Hibernate4-WebTemplate,T,2.0,no test
horie1024/gradle-generate-data-layer-plugin,F,4.4,N/A
Ivanov-Alexander/wso2esb-gradle-plugin,F,,N/A
rapidminer/gradle-plugin-rapidminer-java-basics,F,2.1,N/A
umich-michr/h2-liquibase-gradle-plugin,F,,N/A
sagarmal624/MultiProjectGradleWithSpringBoot,F,,N/A
chanhi2000/springmvc-webapp-gradle-tomcat-intellij-template,F,,N/A
hsteidel/gradle-spring-mongo-file-store-poc,T,3.5,0
dlurton/graal-js-jdk11-gradle-kotliin-demo,T,4.10,0
Hiram-Y/SpringBootKotlinDemo,T,4.5.1,0
kevinhinterlong/jsonit,T,4.4,no test
henne90gen/ChestCounter,T,4.9,1
AlmazSamatov/SearchEngine,T,4.4,0
aegis123/minio-buildcache,F,4.5.1,N/A
semicolondsm/DDYZD_BACKEND_SPRING,T,6.7.1,0
rocketseat-creators-program/kafka4devs-producer-internals-2021-07-02,T,7.0.2,0
komputing/KBase58:kbase58,T,7.0.2,0
CherokeeLanguage/cherokeetransliteration,T,6.8.3,0
MartaLourido/todo-list-java,T,6.7,error
huynhsamha/java-rocksdb-prometheus-exporter,F,6.7,N/A
ifu25/spring-boot-demo,F,6.8.3,N/A
triberay/gradle-liferay-docker-plugin,T,4.8.1,no test
team-7108/robot2018-gradle,F,4.9,N/A
anuraaga/gradle-jib-multiproject-example:aserver,T,4.9,no test
anuraaga/gradle-jib-multiproject-example:bserver,T,4.9,no test
anuraaga/gradle-jib-multiproject-example:lib,T,4.9,no test
albertonavarro/loggergenerator-gradle-plugin,T,4.8,0
EmilBurman/Java_TestAutomationFramework,T,6.2.1,0
tomaszmurglin/Invoice-service,F,5.2.1,N/A
wildec2/java-selenium-framework,T,6.9.1,0
dogaanismail/bank-solution:account.cmd,T,7.2,error
dogaanismail/bank-solution:account.query,T,7.2,error
dogaanismail/bank-solution:common,T,7.2,error
dogaanismail/bank-solution:cqrs.core,T,7.2,error
dogaanismail/bank-solution:customer,T,7.2,error
Kamilahsantos/cloud-conference-day-eureka-client,T,6.6.1,0
floppydisk05/WinBotJDA,T,6.0,no test
Ayutac/planet-b,F,7.4,N/A
FRC2706/FVTS,F,5.6.2,N/A
danskespil/gradle-task-helpers,F,4.2,N/A
mattyb149/nifi-gradle-nar-example,F,4.2.1,N/A
gmazzo/gradle-jerseywadl-plugin:plugin,T,3.1,error
daggerok/heroku-gradle-spring-boot,F,2.10,N/A
kaakaa/Gradle_Hands-on,F,,N/A
d10xa/gradle-download-xml-plugin,F,,N/A
taichi/jmh-gradle-ide,F,2.6,N/A
willmoorefyi/dropwizard-hello-world-gradle,F,2.6,N/A
CodelyTV/java-basic-skeleton,T,7.3,error
heroku/gradle-getting-started,T,6.4.1,0
ratpack/example-ratpack-gradle-groovy-app,T,2.6,0
palantir/sls-packaging:gradle-recommended-product-dependencies,T,7.6,error
palantir/sls-packaging:gradle-sls-packaging,T,7.6,error
lizhangqu/AndroidGradlePluginCodeViewer:library,T,4.10.2,no test
nebula-plugins/nebula-project-plugin,T,8.0,error
tschulte/gradle-semantic-release-plugin,T,6.8.3,error
vert-x/vertx-gradle-template,F,2.2.1,N/A
de-jcup/egradle:egradle-draft,T,6.8.3,no test
de-jcup/egradle:egradle-other,T,6.8.3,0
de-jcup/egradle:egradle-plugin-ide,T,6.8.3,0
de-jcup/egradle:egradle-plugin-junit-contribution,T,6.8.3,0
de-jcup/egradle:egradle-plugin-main,T,6.8.3,0
de-jcup/egradle:egradle-plugin-sdk,T,6.8.3,0
de-jcup/egradle:egradle-sdk-builder,T,6.8.3,0
feedm3/spring-boot-gwt,F,4.6,N/A
inDriver/laniakea-gradle-plugin,T,7.0.2,no test
stackwork/stackwork,T,3.5.1,0
DasLixou/JVent,T,7.2,0
QAInsights/jmeter-dsl-example,F,7.4,N/A
WhaleDone22/WhaleDone-Server,T,7.4,0
AskarSariev/CREDIT_CALCULATOR,T,7.5.1,0
andyjduncan/gradle-example,T,6.4.1,no test
vicsz/testng-selenium-gradle-example,T,3.3,0
joinfaces/joinfaces-gradle-war-example,F,7.6,N/A
sakamotodesu/gradle-jcifs-tasks,T,5.0,0
architectury/architectury-plugin,T,7.3.3,no test
rharter/gradle-git-repo,F,2.2,N/A
gabrielhuff/login-sample,F,4.1,N/A
jitpack/gradle-modular:client,T,6.9.2,no test
jitpack/gradle-modular:server,T,6.9.2,no test
jonathanlermitage/tikione-c2e,T,4.10.2,0
ly3too/java-jna-jni,F,,N/A
mapserver2007/Jsonlenium,T,6.6.1,0
roottony/android-placeholder-plugin,T,2.1,no test
BenjiTrapp/Jenkins-in-the-Gradle,F,3.4.1,N/A
T-Systems-MMS/gradle-git-semver,F,3.5,N/A
Zoltu/kotlin-gradle-plugin,T,2.11,no test
jreznot/gradle-test-javadoc,T,4.2.1,0
szaza/tensorflow-example-java,T,4.0,no test
trevjonez/AndroidGithubReleasePlugin:plugin,T,5.5,0
scoverage/gradle-scoverage,T,7.2,0
Jimdo/gradle-apt-plugin,F,1.10,N/A
amilenovic/ArchDescriptionGradlePlugin,T,2.10,error
SetoKaiba/aether-gradle-plugin,F,3.5,N/A
Chimerapps/transifex-gradle-plugin,T,6.0,no test
tierone-dev/gradle-jsass-plugin,F,,N/A
nebula-plugins/nebula-test,T,8.0,error
xvik/gradle-animalsniffer-plugin,T,6.9,0
tkruse/gradle-groovysh-plugin,F,2.12,N/A
nokeedev/gradle-native,F,7.4.1,N/A
PhilippHeuer/springboot-service,T,5.1,error
kinsleykajiva/my-dictionary,T,4.10,error
taavikybar/console-draw,T,4.10.2,0
franchoo/java7to8,T,4.5,error
tobiasschaefer/micronaut-camunda-external-client-example-java-gradle:client,T,7.3.1,0
tobiasschaefer/micronaut-camunda-external-client-example-java-gradle:server,T,7.3.1,0
iceBear67/gradi,T,7.4,error
sridharbandi/Selenium-Cucumber-Junit-Template,T,5.1.1,0
kgromov/bencmarks-with-report,T,6.0,no test
aim42/htmlSanityCheckConsumer,F,6.8,N/A
akhikhl/gino,F,,N/A
sgwilbur/urbancode-deploy-plugin-template,F,,N/A
jbettcher/UselessPuffin,F,1.7,N/A
dev-fjk/task-management-api,T,7.1.1,0
jiniya22/chaeking:chaeking-api-hexagon,T,7.5,error
jiniya22/chaeking:chaeking-api-layer,T,7.5,error
Light-Board/light-board-back,T,6.3,0
dunmengjun/sqldsl,T,7.1,0
MistraR/gradle-multi-module:common,T,5.2.1,no test
MistraR/gradle-multi-module:log-merge,T,5.2.1,no test
MistraR/gradle-multi-module:user,T,5.2.1,no test
MistraR/gradle-multi-module:work-order,T,5.2.1,no test
jbalgue/cucumber-automation,F,2.10,N/A
ebean-orm-examples/example-gradle-kotlin,T,6.5,0
khomich/gradle-ebean-enhancer,F,,N/A
andycodding/gradledemo,T,2.13,0
xiaoyur347/gradlew,F,,N/A
rmahajan2420/gradleuploadsample,F,2.10,N/A
pwestlin/gradledependencyparser,F,,N/A
miosz/gradle-selenium-java,T,6.6.1,0
Arxing/Plugin-ChineseConverter-Gradle,T,6.3,no test
gaurav156/SpringBoot-Ex-gradle,T,7.4.1,0
project-aries/gradle-docker-databases-plugin,T,4.7,no test
jessica-sobral/study-java-test,T,7.4.2,0
rgusto/client-service,F,7.3,N/A
bradenstrother/2D-Game-Engine,T,7.4,no test
Gary0232/invadem,F,,N/A
joselopez11c/ejemplo-gradle-01,T,7.1,no test
helalkhansohel/Java_Junit_Gradle_Automation,T,7.2,0
Tiny1213/JavaFxGradle:=>,T,6.7,error
Tiny1213/JavaFxGradle:App,T,6.7,error
Tiny1213/JavaFxGradle:java-packager,T,6.7,no test
kkn1125/springboot-react-gradle-seed,T,7.4.1,error
rapidminer/gradle-plugin-rapidminer-extension,F,2.3,N/A
nikolaybotev/gradle-java9-kotlin:java-and-kotlin,T,5.2.1,no test
nikolaybotev/gradle-java9-kotlin:java-only,T,5.2.1,no test
dimetron/kind-tekton-gradle-example,T,6.5.1,no test
vamsidarbhamulla/testng-gradle-example,T,6.0.1,error
mbjarland/gradle-concurrent-execution,F,,N/A
Lotto24/phraseapp-gradle-plugin,F,3.1,N/A
hi1280/gradle-flyway-example,T,3.2.1,0
DMDirc/gradle-git-version-plugin,F,2.14,N/A
amirnoel/sample-gradle-git,F,2.10,N/A
sngths/gradle-demo,F,3.4,N/A
rasmartins/gradle-ship,F,,N/A
sebasira/spring-boot-security,T,3.5.1,0
rashidi/boot-gradle-modular,F,,N/A
illumon-public/JavaCppGradleTemplate:cpplib1,T,4.8,no test
illumon-public/JavaCppGradleTemplate:cpplib2,T,4.8,no test
liziwl/gradle-start-Travis-CI,T,4.7,0
bikashkumars/springboot-gradle-kafka,T,4.6,no test
aemaem/spring-boot-gradle-multi-project:demo-api,T,4.2,no test
aemaem/spring-boot-gradle-multi-project:demo-app,T,4.2,error
daggerok/java-mp-openliberty-gradle-example,T,5.3,no test
Ailunna/StudySpring4WithGradle,F,,N/A
sajjad-ahmed/SpringMVC-Hibernate-Gradle-Project,F,,N/A
Praqma/gradle-plugin-bootstrap,T,5.5.1,0
nebula-plugins/gradle-aggregate-javadocs-plugin,F,2.14,N/A
selesse/gradle-git-changelog,T,3.2.1,0
qaware/gradle-cloud-deployer,F,3.1,N/A
ewerk/gradle-plugins,F,4.3.1,N/A
nebula-plugins/gradle-extra-configurations-plugin,T,8.0,error
beryx/badass-runtime-plugin,T,7.6,7
spring-projects/gradle-plugins,F,1.11,N/A
meeba-dev/ChatApp:client,T,6.6,no test
meeba-dev/ChatApp:network,T,6.6,no test
meeba-dev/ChatApp:server,T,6.6,no test
esuau/microservice-deploy,T,5.5,1
olk90/inventoryManager,T,7.0,no test
lovejin52022/springBoot-dubbo-rabbitMQ-demo:admin,T,6.1,no test
lovejin52022/springBoot-dubbo-rabbitMQ-demo:common,T,6.1,no test
lovejin52022/springBoot-dubbo-rabbitMQ-demo:service,T,6.1,0
Genymobile/genymotion-gradle-plugin:plugin,T,5.6,0
melthaw/spring-backend-boilerplate,F,2.14.1,N/A
jpaulm/javafbp,F,7.6,N/A
kosaka-bun/honoka-sdk:honoka-framework-utils,T,7.4,error
kosaka-bun/honoka-sdk:honoka-json,T,7.4,no test
kosaka-bun/honoka-sdk:honoka-utils,T,7.4,error
javagrails/restlab,F,3.0,N/A
BBloggsbott/BillingSystem,T,3.4.1,no test
Devifish/fish-cloud,F,6.6.1,N/A
scientificCommunity/blog-sample:algorithms,T,7.1.1,no test
scientificCommunity/blog-sample:jdk-sourcecode-samples,T,7.1.1,no test
scientificCommunity/blog-sample:jdk-threadpool-transformer,T,7.1.1,no test
scientificCommunity/blog-sample:kitchen-god,T,7.1.1,no test
scientificCommunity/blog-sample:unit-test-sample,T,7.1.1,0
scientificCommunity/blog-sample:vertx-samples,T,7.1.1,no test
scientificCommunity/blog-sample:vertx4-transformer,T,7.1.1,no test
YangVincent/Domination,T,2.14,no test
