project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
jgremmen/gradle-mql4-task,error with test,5.2.1,run time error,,,,,1,8
josedlpozo/Kompile-Gradle-Plugin:kompile,error with test,4.4,run time error,,,,,0,12
josedlpozo/Kompile-Gradle-Plugin:kompile-core,error with test,4.4,run time error,,,,,0,12
Spidey01/lua.gradle,F,1.11,N/A,,,,,0,12
jaredsburrows/ios-gradle-swift-app-template,error with test,6.9.3,fail to add plugin,,,,,0,8
speedment/speedment-gradle-plugin,F,,N/A,,,,,0,4
lukoerfer/gradle-magicdraw,error with test,7.0,no test,,,,,1,4
lizhangqu/gradle-wrapper,error with test,5.4.1,no test,,,,,0,4
jghoman/gradle-subprojects,F,,N/A,,,,,0,4
BrassMC/Bradle,error with test,7.5,run time error,,,,,1,8
advantageous/marathon-deploy-plugin,F,4.3.1,N/A,,,,,0,12
skidfuscatordev/skidfuscator-gradle-plugin,error with test,7.4,no test,,,,,1,4
shubhamvrkr/learn-jmh-serialziation,error with test,4.10.3,run time error,,,,,0,20
Source-Set-564/Android-MVVM-Sample-Kotlin,F,,N/A,,,,,0,4
arnabmaji/FlappyBird:core,error with test,5.4.1,no test,,,,,0,4
arnabmaji/FlappyBird:desktop,error with test,5.4.1,no test,,,,,0,4
myConsciousness/entity-generator-engine,error with test,6.7.1,run time error,,,,,0,8
Francis-Bui/DeepSpace_2019,error with test,5.0,no test,,,,,0,4
marcbperez/react-logviewer,F,4.10,N/A,,,,,0,8
VIRTUE-DBIS/covis-server,F,5.3.1,N/A,,,,,0,12
chcastro/naval-battle,F,,N/A,,,,,0,4
nabla-squared/laplacian.generator,F,,N/A,,,,,0,4
kaisellgren/Words,F,,N/A,,,,,0,4
sixman9/gradleExample,F,1.0,N/A,,,,,0,12
nristock/GradleCurse,F,,N/A,,,,,0,4
siosio/Sphinx-GradlePlugin,F,3.0,N/A,,,,,0,12
joelrobotham/gradle9-no-debugging,F,,N/A,,,,,0,4
GradleFx/GradleFx-testbed,F,,N/A,,,,,0,8
nikolay-atamanyuk/GradleFlexTest,F,,N/A,,,,,0,4
kellyrob99/gradleSimpleTemplateProblem,F,,N/A,,,,,0,4
mvniekerk/GradleGroovyRobot,F,,N/A,,,,,0,4
nmarshall23/gradleBukkitEmptyPlugin,F,,N/A,,,,,0,4
bschelberg/groovy-web-testing,F,,N/A,,,,,0,4
cwalker67/svnIvyPublish,F,,N/A,,,,,0,4
ctkdev/blogJhipster,F,2.4,N/A,,,,,0,12
caseif/IInjector,F,2.4,N/A,,,,,0,4
hallatech/momentum-geb-inline,F,1.9,N/A,,,,,0,12
nakardo/PlayServicesMapsProject,F,1.6,N/A,,,,,0,4
johndoran/WebAutomatedBDD,F,,N/A,,,,,0,4
kensipe/jms-build-fail,F,1.0,N/A,,,,,0,4
anovarini/bdd4ggsc,F,1.0,N/A,,,,,0,4
nsavageJVM/apache-struts-starter,F,4.4,N/A,,,,,0,8
jrgleason/basic-jpa-template,F,,N/A,,,,,0,4
sap-commerce-tools/plugin-example,error with test,4.5,no test,,,,,1,4
Foso/kotlin-react-Hello-World,F,4.9,N/A,,,,,0,4
AppSci/Eventsdroid,error with test,4.4,fail to add plugin,,,,,0,4
alkoclick/arzu-bootstrap,error with test,5.3,no test,,,,,0,4
emanuelfoliveira/back-end-new-stacks,error with test,4.5.1,run time error,,,,,0,24
pavel-rybakov/api-start,F,,N/A,,,,,0,8
marcelmaatkamp/jruby,F,,N/A,,,,,0,4
alextkachman/build-tools,F,1.0,N/A,,,,,0,4
dahuapp/DummyJavaFXGradle,F,,N/A,,,,,0,4
shevek/imagebuilder,F,2.2.1,N/A,,,,,0,8
giancosta86/Aurora,F,,N/A,,,,,0,4
clojuresque/scriptoresque-base,F,1.8,N/A,,,,,0,4
lyhcode/mock-webserver,F,,N/A,,,,,0,4
